,year,round,circuitId,weather,weather2,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
0,2009,1,1,Sunny with temperatures reaching up to    °C (   °F)  ],Sunny with temperatures reaching up to 27 °C (81 °F) 2],1,0,0,0,0
1,2009,2,2,Dry start  with heavy rain and thunderstorm monsoon later,Dry start  with heavy rain and thunderstorm/monsoon later,0,0,1,1,0
2,2009,3,17,Rain,Rain,0,0,0,1,0
3,2009,4,3,Sunny,Sunny,1,0,0,0,0
4,2009,5,4,Warm  Sunny,Warm  Sunny,1,0,0,0,0
5,2009,6,6,Sunny,Sunny,1,0,0,0,0
6,2009,7,5,Sunny,Sunny,1,0,0,0,0
7,2009,8,9,Dry  overcast,Dry  overcast,0,0,1,0,1
8,2009,9,20,Sunny and overcast,Sunny and overcast,1,0,0,0,1
9,2009,10,11,Sunny   °C (   °F)  ],Sunny25 °C (77 °F) 2],1,0,0,0,0
10,2009,11,12,Hot and dry with temperatures reaching up to    °C (   °F)  ],Hot and dry with temperatures reaching up to 33 °C (91 °F) 1],1,0,1,0,0
11,2009,12,13,Clear but Mild,Clear but Mild,1,0,0,0,0
12,2009,13,14,Mainly sunny,Mainly sunny,1,0,0,0,0
13,2009,14,15,Hot and Dry,Hot and Dry,1,0,1,0,0
14,2009,15,22,Sunny  Dry,Sunny  Dry,1,0,1,0,0
15,2009,16,18,Partially cloudy and dry,Partially cloudy and dry,0,0,1,0,1
16,2009,17,24,Dry,Dry,0,0,1,0,0
17,2008,1,1,Sunny very hot with air temperature   °C ,Sunny very hot with air temperature 39°C ,1,0,0,0,0
18,2008,2,2,Sunny  partly cloudy,Sunny  partly cloudy,1,0,0,0,1
19,2008,3,3,Dry,Dry,0,0,1,0,0
20,2008,4,4,Sunny,Sunny,1,0,0,0,0
21,2008,5,5,Sunny with temperatures reaching up to    °C (   °F)  ],Sunny with temperatures reaching up to 17 °C (63 °F) 3],1,0,0,0,0
22,2008,6,6,Wet  drying later ,Wet  drying later ,0,0,0,1,0
23,2008,7,7,Hot with temperatures approaching    °C (   °F)  wind speeds up to     kilometres per hour (    mph)  ],Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 8 9 kilometres per hour (5 5 mph) 1],1,0,0,0,0
24,2008,8,8,Dry at first  light rain in the final stages,Dry at first; light rain in the final stages,0,0,1,1,0
25,2008,9,9,Rain  later drying,Rain  later drying,0,0,0,1,0
26,2008,10,10,Cloudy  later sunny  ],Cloudy  later sunny 1],1,0,0,0,1
